"","Count","HarvestDate"
"1",1,2012-11-05
"2",2,2012-12-03
"3",3,2012-12-10
"4",4,2012-12-20
"5",5,2012-12-30
"6",6,2013-01-18
"7",7,2013-01-25
"8",8,2013-02-01
"9",9,2013-02-07
"10",10,2013-02-14
"11",11,2013-02-19
"12",12,2013-02-28
"13",13,2013-03-05
"14",14,2013-03-14
"15",15,2013-03-21
"16",16,2013-04-02
"17",17,2015-10-15
"18",18,2015-10-20
"19",19,2015-10-27
"20",20,2015-10-30
"21",21,2015-11-02
"22",22,2015-11-10
"23",23,2015-11-12
"24",24,2015-11-23
"25",25,2015-11-30
"26",26,2015-12-04
"27",27,2015-12-07
"28",28,2015-12-14
"29",29,2015-12-21
"30",30,2016-01-06
"31",31,2016-01-11
"32",32,2016-01-14
"33",33,2016-01-19
"34",34,2016-01-22
"35",35,2016-01-25
"36",36,2016-02-01
"37",37,2016-02-09
"38",38,2015-12-30
"39",39,2015-09-10
